"전체순서","중요도","게임","컨셉","효과음 확정명","납품 파일명","재생 시점","원하는 느낌","권장 길이(초)","반복","영문 검색어","한글 검색어","제작 및 재생 지침","현재 상태","진행 상태(수정)","선택한 음원 URL(수정)","제작자 및 이용조건(수정)","내 우선순위(수정)","메모(수정)"
"13","P0","E3","사람 쌓기","사람 떨어뜨리기","sfx_e3_person_drop.wav","회전 각도를 확정하고 사람을 레일에서 놓는 순간","짧은 공기 툭 + 가벼운 옷자락","0.18","아니오","body drop release cloth whoosh short","사람 쌓기 낙하 시작 옷자락 효과음","낙하 횟수가 늘어도 피치를 과도하게 올리지 않음; 입력당 1회","낙하 기능 존재; 현재 action 합성음 사용","미착수","","","P0",""
"14","P0","E3","사람 쌓기","사람 충돌","sfx_e3_body_impact.wav","낙하한 사람과 단상·다른 사람이 유효 속도로 충돌","무겁지 않은 퍽 + 천 재질","0.22","아니오","soft body impact cloth thump short","사람 쌓기 충돌 효과음 퍽 천 재질","충격 세기로 볼륨 변화; 여러 접점은 100ms 안에서 한 번으로 묶음","충돌 판정과 100ms 제한 존재; 현재 hit 합성음 사용","미착수","","","P0",""
"15","P0","E4","가속 대쉬","누적 가속 탭","sfx_e4_accel_tap.wav","방향키를 새로 누를 때","짧은 슝 + 상승 신스","0.18","아니오","arcade boost short synth whoosh","누적 가속 탭 효과음 짧은 슝 + 상승 신스","누적 속도에 따라 피치 상승; 길게 누르기는 반복 재생하지 않음","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"16","P0","E4","가속 대쉬","밀리는 브레이크","sfx_e4_brake_slide.wav","키를 놓고 관성으로 감속","가벼운 끼익 + 마찰","0.6","아니오","short tire skid cartoon brake","밀리는 브레이크 효과음 가벼운 끼익 + 마찰","차량 엔진보다 얇게; 속도가 낮으면 생략; 정지하면 페이드","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"17","P0","E4","왕사남 호랑이 추격","호랑이 추격 시작","sfx_e4_tiger_chase_start.wav","3초 대기 후 호랑이가 실제 추격을 시작할 때","짧은 북성 충격 + 낮은 으르렁","0.55","아니오","tiger chase start growl impact short","호랑이 추격 시작 낮은 으르렁 효과음","플레이어에게 위험 전환을 알리는 선행 신호; BGM보다 앞에","추격 지연·시작 상태 존재; 사운드 없음","미착수","","","P0",""
"18","P0","E4","왕사남 호랑이 추격","호랑이 포획","sfx_e4_tiger_catch.wav","호랑이와 플레이어가 충돌해 즉시 실패가 확정될 때","짧은 덮침 + 굵은 타격","0.4","아니오","animal pounce heavy hit short","호랑이 포획 덮침 타격 효과음","공통 실패음보다 먼저 재생; 과한 실제 동물 비명은 피함","포획 실패 판정 존재; 현재 공통 failure만 사용","미착수","","","P0",""
"19","P0","E5","두쫀쿠 새총","두딱쿠 명중","sfx_e5_target_pop.wav","표적 제거 확정","초콜릿 바삭 + 낮은 뽁","0.3","아니오","chocolate crack soft pop impact","두딱쿠 명중 효과음 초콜릿 바삭 + 낮은 뽁","과자 부수기와 팝 합성; 나무 타격보다 명확하게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"20","P0","E5","두쫀쿠 새총","새총 발사","sfx_e5_slingshot_release.wav","두쫀쿠 발사","팡 + 고무줄 튕김","0.3","아니오","slingshot rubber band release","새총 발사 효과음 팡 + 고무줄 튕김","직접 고무줄 녹음 가능; 당긴 세기에 따라 볼륨 변화","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"21","P0","E6","중력 비행","상승 점화","sfx_e6_lift_ignite.wav","Space를 눌러 상승이 시작되는 순간","짧은 불꽃 팟 + 가벼운 상승 슝","0.2","아니오","small fire ignition lift whoosh","중력 비행 상승 점화 불꽃 슝 효과음","키 다운 순간 1회; 누르고 있는 동안은 루프에 연결","상승 입력 기능 존재; 현재 action 합성음 사용","미착수","","","P0",""
"22","P0","E6","중력 비행","장애물 충돌과 후퇴","sfx_e6_gate_collision.wav","글자 기둥·통로 벽에 닿아 뒤로 밀려날 때","단단한 탁 + 낮은 역방향 슝","0.35","아니오","arcade obstacle collision knockback short","중력 비행 장애물 충돌 후퇴 효과음","무적 시간 동안 반복 금지; 공통 재소환음과 겹치면 이 소리를 우선","충돌·후퇴·0.85초 무적 기능 존재; 현재 hit 합성음 사용","미착수","","","P0",""
"23","P0","E7","월드컵 조추첨","룰렛 칸 통과","sfx_e7_roulette_tick.wav","회전 중 국가 칸 경계 통과","건조한 딸깍","0.05","아니오","wheel fortune tick ratchet single","룰렛 칸 통과 효과음 건조한 딸깍","단발 파일; 회전 속도로 간격 결정; 과밀하면 40ms 간격 제한 제안","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"24","P0","E7","월드컵 조추첨","추첨 정지","sfx_e7_draw_stop.wav","룰렛이 완전히 멈춤","묵직한 탁","0.2","아니오","mechanical wheel stop clunk","추첨 정지 효과음 묵직한 탁","정지 순간 1회 후 공통 성공/오답 소리; 결과가 들리도록 시간차","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"25","P0","E8","거미줄 질주","거미줄 발사와 부착","sfx_e8_web_attach.wav","앵커 연결 성공","쐭 + 쫀득한 탁","0.3","아니오","elastic whip sticky snap whoosh","거미줄 발사와 부착 효과음 쐭 + 쫀득한 탁","고무줄 튕김과 접착 소리 합성; 부착 실패 때는 재생하지 않음","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"26","P0","E8","거미줄 질주","거미줄 해제","sfx_e8_web_release.wav","줄을 놓고 날아갈 때","짧은 휙","0.2","아니오","fast whip release short","거미줄 해제 효과음 짧은 휙","부착음보다 가볍게; 실제 줄 해제에만 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"27","P0","E9","얼음 컬링","과녁 빗나감과 재투구","sfx_e9_retry.wav","과녁 밖에서 멈추거나 링크 밖으로 나가 새 스톤이 준비될 때","짧은 낮은 슬립 + 리셋 톡","0.38","아니오","curling miss retry short slide reset","컬링 과녁 빗나감 재투구 효과음","스테이지 실패음과 구분; 실패 횟수 증가당 1회","재투구 기능 존재; 현재 failure 합성음 사용","미착수","","","P0",""
"28","P0","E9","얼음 컬링","스톤 정지","sfx_e9_stone_stop.wav","속도가 0이 되어 성공·실패 위치가 확정될 때","낮은 사각 + 작은 톡","0.2","아니오","curling stone settle stop ice short","컬링 스톤 정지 안착 효과음","판정 직전 1회; 성공이면 밝게, 실패면 낮게 피치 변형 가능","정지 판정 존재; 전용 사운드 없음","미착수","","","P0",""
"29","P0","E9","얼음 컬링","스톤 활주","sfx_e9_stone_slide.wav","스톤이 얼음 위에서 이동하는 동안","낮고 고운 얼음 마찰","1.8","예","curling stone sliding on ice seamless loop","컬링 스톤 얼음 활주 마찰 루프","속도와 마찰 감소 횟수로 볼륨·고역 변화; 정지 80ms 전에 페이드","속도·마찰 값 존재; 사운드 없음","미착수","","","P0",""
"30","P0","E9","얼음 컬링","컬링 스톤 투구","sfx_e9_stone_release.wav","드래그를 놓아 스톤의 이동이 시작될 때","묵직한 밀기 + 짧은 얼음 긁힘","0.28","아니오","curling stone release push ice scrape","컬링 스톤 투구 얼음 긁힘 효과음","당긴 거리에 따라 볼륨 변화; 최소 드래그 미달에는 재생하지 않음","투구 기능 존재; 현재 action 합성음 사용","미착수","","","P0",""
"31","P0","E10","피겨 암호","오답 숫자 입력","sfx_e10_digit_wrong.wav","잘못된 숫자 블록 입력","짧고 낮은 둣","0.2","아니오","soft wrong answer error blip","오답 숫자 입력 효과음 짧고 낮은 둣","스테이지 실패보다 짧게; 오답과 게임 종료 구분","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"32","P0","E10","피겨 암호","정답 숫자 입력","sfx_e10_digit_correct.wav","올바른 숫자 블록 입력","맑은 딩 + 작은 얼음 톡","0.25","아니오","ice chime correct answer short","정답 숫자 입력 효과음 맑은 딩 + 작은 얼음 톡","숫자 진행별 피치 소폭 상승; 최종 4자리 완성은 공통 성공음","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"33","P0","E10","피겨 암호","회전 점프","sfx_e10_spin_jump.wav","점프 성립","빙판 긁기 + 가벼운 휘익","0.3","아니오","ice skate jump spin whoosh","회전 점프 효과음 빙판 긁기 + 가벼운 휘익","빙판 이륙과 회전 합성; 착지 소리는 별도","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"34","P1","공통","스토리 및 진행","공공망 전송","sfx_common_network_transmit.wav","최종 기록 전송이 시작되어 여러 노드로 퍼지는 동안","부드러운 데이터 펄스와 확장되는 노이즈","2","예","data network upload pulse seamless loop","공공망 기록 전송 루프 효과음","전송 구간에서만 루프; 검증 완료 순간 즉시 페이드하고 엔딩 확인음 연결","최종 전송 연출 존재; 전용 루프·이벤트 필요","미착수","","","P1",""
"35","P1","공통","스토리 및 진행","막 전환","sfx_common_act_transition.wav","ACT 1→2, ACT 2→3 전환 타이틀 확정","묵직한 데이터 셔터 + 저역 상승","0.8","아니오","chapter transition digital shutter rise","막 전환 효과음 데이터 셔터 저역 상승","컷신 음악을 가리지 않도록 짧게; 막당 1회","막 전환 연출 존재; 전용 사운드 이벤트 필요","미착수","","","P1",""
"36","P1","공통","전체 게임 공통","메뉴 선택","sfx_common_ui_click.wav","버튼 선택 성립","작은 디지털 톡","0.08","아니오","minimal game ui click","메뉴 선택 효과음 작은 디지털 톡","직접 합성; 모든 메뉴 재사용; 이동 호버음은 생략","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"37","P1","공통","전체 게임 공통","스테이지 시작","sfx_common_stage_start.wav","조작 가능 상태 진입","짧은 시작 신호","0.4","아니오","arcade ready start cue short","스테이지 시작 효과음 짧은 시작 신호","시작 문구마다 반복하지 말고 실제 시작에 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"38","P1","공통","전체 게임 공통","시작 카운트","sfx_common_countdown_tick.wav","3·2·1 카운트 숫자가 바뀔 때","짧고 마른 전자 틱","0.08","아니오","minimal electronic countdown tick","게임 시작 카운트다운 짧은 전자 틱","3·2·1은 같은 파일; 시작 문구에는 스테이지 시작음을 사용","카운트다운에서 현재 click 합성음 사용","미착수","","","P1",""
"39","P1","공통","스토리 및 진행","아카이브 스캔","sfx_common_archive_scan.wav","기록·명령 서명·목표 카드가 스캔되며 드러날 때","얇은 스캔 스윕 + 작은 디지털 입자","0.7","아니오","sci fi archive scan reveal short","아카이브 스캔 기록 공개 효과음","텍스트 한 줄마다 반복하지 말고 패널 단위 1회; 대사 아래로 덕킹","관련 화면 연출 존재; 전용 사운드 이벤트 필요","미착수","","","P1",""
"40","P1","공통","전체 게임 공통","일시정지 전환","sfx_common_pause_toggle.wav","일시정지 진입과 복귀 확정","짧게 닫히는 필터음; 복귀는 피치 상승 변형","0.22","아니오","game pause resume toggle short","게임 일시정지 복귀 전환 효과음","한 파일을 정방향/피치 변형으로 재사용 가능; 메뉴 버튼음보다 낮게","일시정지·복귀 기능 존재; 전용 사운드 없음","미착수","","","P1",""
"41","P1","E1","중력 대쉬","가시 낙하","sfx_e1_spike_drop.wav","새 가시가 낙하 시작","짧은 날카로운 휙","0.25","아니오","small sharp object falling whoosh","가시 낙하 효과음 짧은 날카로운 휙","실제 위험 등장에 동기화; 여러 가시는 묶어서 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"42","P1","E1","중력 대쉬","천장 바닥 착지","sfx_e1_surface_land.wav","반전 후 면에 도착","단단한 디지털 탁","0.12","아니오","8 bit landing tap short","천장 바닥 착지 효과음 단단한 디지털 탁","반전음보다 낮게; 접촉 유지 중 반복 금지","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"43","P1","E2","왁뿌볼 / 바운스볼","말랑 착지","sfx_e2_wax_land.wav","공중에서 발판 착지","낮고 부드러운 뭉","0.15","아니오","soft ball landing rubber thud","말랑 착지 효과음 낮고 부드러운 뭉","강한 착지에만; 점프/균열보다 작게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"44","P1","E2","왁뿌볼 / 바운스볼","발판 붕괴","sfx_e2_platform_crumble.wav","밟은 발판이 무너짐","짧은 바스락 우수수","0.5","아니오","small platform crumble debris","발판 붕괴 효과음 짧은 바스락 우수수","실제 붕괴 시점 1회; 왁스 균열보다 넓은 질감","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"45","P1","E3","사람 쌓기","대기 자세 회전","sfx_e3_rotate_step.wav","A/D 또는 방향키로 다음 사람 각도를 바꿀 때","작은 기계식 톡","0.06","아니오","small rotate step mechanical tick","사람 쌓기 회전 입력 작은 톡","길게 누를 때는 90ms 이상 간격; 낙하음보다 훨씬 작게","회전 기능 존재; 사운드 없음","미착수","","","P1",""
"46","P1","E4","가속 대쉬","속도 바람","sfx_e4_speed_wind.wav","이동 속도가 높아질 때","얇은 바람과 신스 질주감","2","예","sci fi racing wind loop seamless","속도 바람 효과음 얇은 바람과 신스 질주감","속도로 볼륨/필터 변화; 정지와 메뉴에서 종료; 브레이크를 가리지 않게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"47","P1","E4","왕사남 호랑이 추격","호랑이 발소리","sfx_e4_tiger_steps.wav","호랑이가 걷거나 달리며 플레이어와 거리가 가까워질 때","마른 흙 위 짧은 네발 발소리","0.7","예","tiger running footsteps dirt loop","호랑이 추격 네발 발소리 루프","거리와 보행 상태로 볼륨·재생률 변화; 포획 순간 종료","걷기·달리기 상태와 거리 값 존재; 사운드 없음","미착수","","","P1",""
"48","P1","E5","두쫀쿠 새총","목재 충돌","sfx_e5_wood_hit.wav","목재에 충돌","가벼운 나무 툭","0.2","아니오","wood block impact dry short","목재 충돌 효과음 가벼운 나무 툭","충돌 세기별 볼륨; 약한 접촉 생략; 표적 제거음 우선","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"49","P1","E5","두쫀쿠 새총","목재 파괴","sfx_e5_wood_break.wav","나무 파손 판정","우두둑 + 작은 조각 낙하","0.6","아니오","small wooden crate break debris","목재 파괴 효과음 우두둑 + 작은 조각 낙하","파편 전부에서 울리지 않게 100ms 묶음 처리 제안","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"50","P1","E5","두쫀쿠 새총","새총 당김","sfx_e5_slingshot_stretch.wav","조준 드래그 시작과 당김","고무줄이 늘어나는 뿌득","1","예","rubber stretch creak loop","새총 당김 효과음 고무줄이 늘어나는 뿌득","당김 거리로 피치/볼륨; 발사와 취소에서 종료","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"51","P1","E6","중력 비행","게이트 통과","sfx_e6_gate_pass.wav","장애물 사이 안전 간격의 중앙을 지나 다음 구간으로 넘어갈 때","얇은 공기 스침 + 작은 확인 틱","0.18","아니오","safe gate pass air tick short","중력 비행 게이트 통과 공기 스침 효과음","게이트당 1회; 충돌 직후에는 생략해 판정 혼동 방지","게이트 위치·통과 진행 값 존재; 전용 통과 이벤트 필요","미착수","","","P1",""
"52","P1","E6","중력 비행","상승 화염","sfx_e6_lift_flame.wav","Space를 누르고 상승하는 동안","가볍고 얇은 불꽃 분사","1.5","예","small flame jet seamless loop","중력 비행 상승 화염 분사 루프","열기 수치로 필터와 볼륨 변화; 키를 놓으면 100ms 페이드","열기·누름 상태 값 존재; 사운드 없음","미착수","","","P1",""
"53","P1","E7","월드컵 조추첨","당겨서 돌리기","sfx_e7_spin_release.wav","조작을 놓아 룰렛 회전 시작","탄력 있는 휙","0.25","아니오","wheel spin release whoosh short","당겨서 돌리기 효과음 탄력 있는 휙","룰렛 딸깍과 겹쳐도 짧게; 시작 입력 때 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"54","P1","E7","월드컵 조추첨","목표 국가 빗나감","sfx_e7_draw_miss.wav","목표 국가가 아닌 곳에 정지","짧은 코믹 하강음","0.4","아니오","comedy disappointment short muted trombone","목표 국가 빗나감 효과음 짧은 코믹 하강음","스테이지 종료 실패음과 구분; 다음 추첨 방해하지 않게 짧게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"55","P1","E8","거미줄 질주","새 앵커 가속","sfx_e8_anchor_boost.wav","새 앵커 연결로 가속 보상","밝은 짧은 상승음","0.25","아니오","power up boost sparkle short","새 앵커 가속 효과음 밝은 짧은 상승음","일반 연결과 구분; 이미 쓴 앵커는 생략; 부착음 위에 작은 레이어","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"56","P1","E8","거미줄 질주","스윙 바람","sfx_e8_swing_wind.wav","빠르게 스윙하거나 비행","넓게 흐르는 바람","2","예","fast air movement wind loop","스윙 바람 효과음 넓게 흐르는 바람","실제 속도로 볼륨 변화; 화면 최저점 통과에서 자연스럽게 커짐","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"57","P1","E8","거미줄 질주","추락 재연결","sfx_e8_fall_recover.wav","화면 아래 추락 후 체크포인트 앵커로 되돌아갈 때","빠르게 내려가는 바람 + 줄이 다시 당겨지는 탁","0.5","아니오","web swing fall recover rewind short","거미줄 질주 추락 재연결 효과음","공통 재소환음 대신 게임 전용으로 사용 가능; 추락당 1회","추락·체크포인트 복귀 기능 존재; 현재 hit 합성음 사용","미착수","","","P1",""
"58","P1","E9","얼음 컬링","과녁 안착","sfx_e9_house_land.wav","성공 인정 범위 안에서 스톤이 멈춰 클리어가 확정될 때","맑은 얼음 딩 + 낮은 안착 톡","0.35","아니오","curling house success ice chime short","컬링 과녁 안착 성공 효과음","공통 성공음 바로 전에 재생; 가장자리 성공도 동일","성공 반경 판정 존재; 현재 공통 success만 사용","미착수","","","P1",""
"59","P1","E9","얼음 컬링","스톤 조준 당김","sfx_e9_stone_aim.wav","스톤을 잡아 당기며 투구 방향과 힘을 정할 때","미세한 얼음 압력음과 고무 마찰","1","예","curling stone aim pull tension loop","컬링 스톤 조준 당김 효과음","당김 거리로 볼륨 변화; 취소·투구에서 즉시 종료","드래그 거리 값 존재; 사운드 없음","미착수","","","P1",""
"60","P1","E10","피겨 암호","링크 벽 반사","sfx_e10_rink_wall_bounce.wav","빙판 좌우 끝에 닿아 속도가 반대로 튕길 때","짧은 얼음 긁힘 + 둔한 톡","0.2","아니오","ice rink wall bounce scrape short","피겨 암호 링크 벽 반사 얼음 긁힘 효과음","공통 시간 손실 충돌음과 구분; 벽 반사당 1회","좌우 경계 반사 기능 존재; 현재 hit 합성음 사용","미착수","","","P1",""
"61","P1","E10","피겨 암호","빙판 착지","sfx_e10_skate_land.wav","점프 후 착지","짧게 챡","0.2","아니오","ice skate landing scrape short","빙판 착지 효과음 짧게 챡","활주보다 선명하게; 착지 판정 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"62","P1","E10","피겨 암호","빙판 활주","sfx_e10_skate_glide.wav","빙판 위에서 이동","사각사각 얇은 스케이트 마찰","2","예","ice skating blade glide loop","빙판 활주 효과음 사각사각 얇은 스케이트 마찰","속도로 볼륨 변화; 공중에서는 중지; 방향 입력마다 새 파일 시작 금지","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"63","P2","공통","스토리 및 진행","기억 교란 글리치","sfx_common_memory_glitch.wav","3막 가짜 표식·화면 교란이 강해지는 핵심 연출","짧은 디지털 찢김과 불안정한 잡음","0.45","아니오","digital memory glitch tear short","기억 교란 글리치 효과음 짧은 디지털 찢김","지속 노이즈 대신 주요 변화에만 사용; 대사 중 반복 금지","화면 교란 연출 존재; 전용 사운드 이벤트 필요","미착수","","","P2",""
"64","P2","공통","전체 게임 공통","메뉴 포커스","sfx_common_ui_focus.wav","키보드·패드로 선택 항목이 이동하거나 주요 버튼 호버","아주 작은 고음 틱","0.05","아니오","subtle ui focus hover tick","메뉴 포커스 호버 아주 작은 틱","마우스가 흔들릴 때 연타되지 않도록 80ms 제한; 접근성 설정에서 함께 음소거","포커스 UI 존재; 현재는 의도적으로 생략","미착수","","","P2",""
"65","P2","공통","스토리 및 진행","증언 기록 열기","sfx_common_record_open.wav","클리어 후 증언 기록 상세 패널을 열 때","종이 넘김보다 디지털 카드가 펼쳐지는 소리","0.35","아니오","digital archive card open short","증언 기록 카드 열기 효과음","같은 기록 안에서 탭 이동은 메뉴 선택음 재사용","기록 열람 화면 기획 존재; 전용 사운드 이벤트 필요","미착수","","","P2",""
"66","P2","공통","스토리 및 진행","최종 검증 완료","sfx_common_ending_verified.wav","RECORDS VERIFIED 18/18 및 결말 확정","넓고 맑은 코드 + 아주 짧은 저역 충격","1.2","아니오","final verification cinematic chime short","최종 기록 검증 완료 효과음","음악성은 낮게 유지해 BGM과 충돌 방지; 게임 전체에서 1회","최종 엔딩 연출 존재; 전용 사운드 이벤트 필요","미착수","","","P2",""
"67","P2","E3","사람 쌓기","탑 흔들림","sfx_e3_stack_creak.wav","목표 높이 부근에서 탑의 각속도·속도가 커질 때","낮은 옷 마찰과 작은 삐걱","0.8","예","soft stack wobble creak cloth loop","사람 탑 흔들림 작은 삐걱 루프","위험도에 따라 볼륨만 상승; 안정되면 150ms 페이드","물리 안정도 값 존재; 사운드 연동 없음","미착수","","","P2",""
"68","P2","E4","가속 대쉬","최고속 도달","sfx_e4_max_speed.wav","최고 속도에 처음 도달","짧은 고음 파워업","0.25","아니오","arcade max power notification","최고속 도달 효과음 짧은 고음 파워업","최고속 유지 중 반복 금지; 속도감이 충분하면 생략 가능","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"69","P2","E5","두쫀쿠 새총","관통과 연속 파괴","sfx_e5_pierce_combo.wav","강한 발사로 표적을 관통하거나 2개 이상 연속 파괴","바삭한 연속 팝 + 짧은 상승 악센트","0.45","아니오","crunchy combo pierce rising accent short","두쫀쿠 관통 연속 파괴 콤보 효과음","기본 표적 파괴음 위에 작은 레이어; 콤보 수만큼 반복하지 않음","관통·콤보 상태 존재; 현재 hit 합성음 사용","미착수","","","P2",""
