"전체순서","중요도","게임","컨셉","효과음 확정명","납품 파일명","재생 시점","원하는 느낌","권장 길이(초)","반복","영문 검색어","한글 검색어","제작 및 재생 지침","현재 상태","진행 상태(수정)","선택한 음원 URL(수정)","제작자 및 이용조건(수정)","내 우선순위(수정)","메모(수정)"
"23","P1","E8","거미줄 질주","새 앵커 가속","sfx_e8_anchor_boost.wav","새 앵커 연결로 가속 보상","밝은 짧은 상승음","0.25","아니오","power up boost sparkle short","새 앵커 가속 효과음 밝은 짧은 상승음","일반 연결과 구분; 이미 쓴 앵커는 생략; 부착음 위에 작은 레이어","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"24","P1","E5","두쫀쿠 새총","새총 당김","sfx_e5_slingshot_stretch.wav","조준 드래그 시작과 당김","고무줄이 늘어나는 뿌득","1","예","rubber stretch creak loop","새총 당김 효과음 고무줄이 늘어나는 뿌득","당김 거리로 피치/볼륨; 발사와 취소에서 종료","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"25","P1","E5","두쫀쿠 새총","목재 충돌","sfx_e5_wood_hit.wav","목재에 충돌","가벼운 나무 툭","0.2","아니오","wood block impact dry short","목재 충돌 효과음 가벼운 나무 툭","충돌 세기별 볼륨; 약한 접촉 생략; 표적 제거음 우선","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"26","P1","E5","두쫀쿠 새총","목재 파괴","sfx_e5_wood_break.wav","나무 파손 판정","우두둑 + 작은 조각 낙하","0.6","아니오","small wooden crate break debris","목재 파괴 효과음 우두둑 + 작은 조각 낙하","파편 전부에서 울리지 않게 100ms 묶음 처리 제안","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"27","P1","E7","월드컵 조추첨","당겨서 돌리기","sfx_e7_spin_release.wav","조작을 놓아 룰렛 회전 시작","탄력 있는 휙","0.25","아니오","wheel spin release whoosh short","당겨서 돌리기 효과음 탄력 있는 휙","룰렛 딸깍과 겹쳐도 짧게; 시작 입력 때 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"28","P1","E7","월드컵 조추첨","목표 국가 빗나감","sfx_e7_draw_miss.wav","목표 국가가 아닌 곳에 정지","짧은 코믹 하강음","0.4","아니오","comedy disappointment short muted trombone","목표 국가 빗나감 효과음 짧은 코믹 하강음","스테이지 종료 실패음과 구분; 다음 추첨 방해하지 않게 짧게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"29","P1","E2","왁뿌볼 / 바운스볼","말랑 착지","sfx_e2_wax_land.wav","공중에서 발판 착지","낮고 부드러운 뭉","0.15","아니오","soft ball landing rubber thud","말랑 착지 효과음 낮고 부드러운 뭉","강한 착지에만; 점프/균열보다 작게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"30","P1","E2","왁뿌볼 / 바운스볼","발판 붕괴","sfx_e2_platform_crumble.wav","밟은 발판이 무너짐","짧은 바스락 우수수","0.5","아니오","small platform crumble debris","발판 붕괴 효과음 짧은 바스락 우수수","실제 붕괴 시점 1회; 왁스 균열보다 넓은 질감","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"31","P1","E1","중력 대쉬","천장 바닥 착지","sfx_e1_surface_land.wav","반전 후 면에 도착","단단한 디지털 탁","0.12","아니오","8 bit landing tap short","천장 바닥 착지 효과음 단단한 디지털 탁","반전음보다 낮게; 접촉 유지 중 반복 금지","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"32","P1","E1","중력 대쉬","가시 낙하","sfx_e1_spike_drop.wav","새 가시가 낙하 시작","짧은 날카로운 휙","0.25","아니오","small sharp object falling whoosh","가시 낙하 효과음 짧은 날카로운 휙","실제 위험 등장에 동기화; 여러 가시는 묶어서 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"33","P1","E10","피겨 암호","빙판 활주","sfx_e10_skate_glide.wav","빙판 위에서 이동","사각사각 얇은 스케이트 마찰","2","예","ice skating blade glide loop","빙판 활주 효과음 사각사각 얇은 스케이트 마찰","속도로 볼륨 변화; 공중에서는 중지; 방향 입력마다 새 파일 시작 금지","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"34","P1","E10","피겨 암호","빙판 착지","sfx_e10_skate_land.wav","점프 후 착지","짧게 챡","0.2","아니오","ice skate landing scrape short","빙판 착지 효과음 짧게 챡","활주보다 선명하게; 착지 판정 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"35","P2","E4","가속 대쉬","최고속 도달","sfx_e4_max_speed.wav","최고 속도에 처음 도달","짧은 고음 파워업","0.25","아니오","arcade max power notification","최고속 도달 효과음 짧은 고음 파워업","최고속 유지 중 반복 금지; 속도감이 충분하면 생략 가능","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"36","P2","E5","두쫀쿠 새총","두쫀쿠 튕김","sfx_e5_cookie_bounce.wav","발사체가 바닥에서 반동","둔탁한 과자 톡","0.2","아니오","cookie biscuit impact bounce","두쫀쿠 튕김 효과음 둔탁한 과자 톡","나무/표적 효과음과 우선순위 충돌 시 생략","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"37","P2","E7","월드컵 조추첨","관중 기대감","sfx_e7_crowd_murmur.wav","룰렛 감속으로 결과가 가까워짐","작은 웅성거림","2","예","small crowd anticipation murmur loop","관중 기대감 효과음 작은 웅성거림","보컬 없는 군중 질감; 정지와 동시에 종료; 딸깍이 항상 앞에","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"38","P2","E7","월드컵 조추첨","추첨 성공 환호","sfx_e7_crowd_cheer.wav","목표 국가 당첨","짧은 와아","1","아니오","small crowd cheer short no music","추첨 성공 환호 효과음 짧은 와아","직접 여러 목소리 녹음 가능; 공통 성공음 뒤에 작게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"39","P2","E8","거미줄 질주","공중 회전 스침","sfx_e8_air_pass.wav","빠른 장애물/지점 스침 연출","작은 슉","0.2","아니오","fast air pass by short","공중 회전 스침 효과음 작은 슉","별도 연출 조건 추가가 필요; 스윙 바람으로 충분하면 보류","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
"40","P2","E10","피겨 암호","서리 덮임","sfx_e10_frost_cover.wav","암호가 서리에 가려지는 연출","차가운 사르르","0.5","아니오","frost freezing ice shimmer short","서리 덮임 효과음 차가운 사르르","보이는 서리 변화에만; 시작부터 고정으로 가려져 있으면 생략","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P2",""
